year,week,date,home_team,home_conference,home_points,away_team,away_conference,away_points,significance,home_rank,away_rank,outlet
2013,6,2013-10-06 00:00:00+00:00,Northwestern,Big Ten,30,Ohio State,Big Ten,40,ranked_matchup,16.0,4.0,ABC
2013,6,2013-10-06 02:30:00+00:00,Stanford,Pac-12,31,Washington,Pac-12,28,ranked_matchup,5.0,15.0,ESPN
2013,7,2013-10-10 23:30:00+00:00,Louisville,American Athletic,24,Rutgers,American Athletic,10,ranked_matchup,8.0,,ESPNM
2013,7,2013-10-12 16:00:00+00:00,Georgia,SEC,26,Missouri,SEC,41,"ranked_matchup,upset_victory",7.0,25.0,ESPNM
2013,7,2013-10-12 16:00:00+00:00,Texas,Big 12,36,Oklahoma,Big 12,20,ranked_matchup,,12.0,ABC
2013,7,2013-10-12 16:00:00+00:00,Texas Tech,Big 12,42,Iowa State,Big 12,35,ranked_matchup,20.0,,FS1
2013,7,2013-10-12 16:00:00+00:00,Virginia Tech,ACC,19,Pittsburgh,ACC,9,ranked_matchup,24.0,,ESPNU
2013,7,2013-10-12 16:21:00+00:00,Arkansas,SEC,7,South Carolina,SEC,52,ranked_matchup,,14.0,ESGP
2013,7,2013-10-12 19:30:00+00:00,Clemson,ACC,24,Boston College,ACC,14,ranked_matchup,3.0,,ESPN2
2013,7,2013-10-12 19:30:00+00:00,LSU,SEC,17,Florida,SEC,6,ranked_matchup,10.0,17.0,CBS
2013,7,2013-10-12 19:30:00+00:00,Kansas State,Big 12,25,Baylor,Big 12,35,ranked_matchup,,15.0,FOX
2013,7,2013-10-12 19:30:00+00:00,Wisconsin,Big Ten,35,Northwestern,Big Ten,6,ranked_matchup,,19.0,ESPN2
2013,7,2013-10-12 20:00:00+00:00,Washington,Pac-12,24,Oregon,Pac-12,45,ranked_matchup,16.0,2.0,FS1
2013,7,2013-10-12 21:00:00+00:00,Penn State,Big Ten,43,Michigan,Big Ten,40,ranked_matchup,,18.0,ESPNM
2013,7,2013-10-12 21:00:00+00:00,Northern Illinois,Mid-American,27,Akron,Mid-American,20,ranked_matchup,23.0,,ESPN3
2013,7,2013-10-12 22:00:00+00:00,Utah,Pac-12,27,Stanford,Pac-12,21,ranked_matchup,,5.0,PAC12
