year,team,conference,division,total_games,total_wins,total_losses,conference_games,conference_wins,conference_losses,home_games,home_wins,home_losses,away_games,away_wins,away_losses,expected_wins
2001,Troy,FBS Independents,,11,7,4,0,0,0,5,5,0,6,2,4,
2001,Tulane,Conference USA,,12,3,9,8,1,7,5,2,3,7,1,6,
2001,Western Michigan,Mid-American,West,11,5,6,8,4,4,5,4,1,6,1,5,
2001,Wyoming,Mountain West,,11,2,9,7,0,7,6,1,5,5,1,4,
2002,Auburn,SEC,West,13,9,4,8,5,3,8,6,2,5,3,2,
2002,UAB,Conference USA,,12,5,7,8,4,4,6,4,2,6,1,5,
2002,Arkansas,SEC,West,14,9,5,9,5,4,9,6,3,5,3,2,
2002,Arizona State,Pac-10,,14,8,6,10,6,4,8,5,3,6,3,3,
2002,Arizona,Pac-10,,12,4,8,10,2,8,7,3,4,5,1,4,
2002,San Diego State,Mountain West,,13,4,9,9,4,5,5,2,3,8,2,6,
2002,San José State,Western Athletic,,13,6,7,8,4,4,4,2,2,9,4,5,
2002,Stanford,Pac-10,,11,2,9,8,1,7,5,2,3,6,0,6,
2002,California,Pac-10,,12,7,5,10,5,5,7,4,3,5,3,2,
2002,UCLA,Pac-10,,13,8,5,11,7,4,6,2,4,7,6,1,
2002,USC,Pac-10,,13,11,2,9,8,1,7,7,0,6,4,2,
2002,Colorado State,Mountain West,,14,10,4,11,8,3,6,4,2,8,6,2,
2002,Colorado,Big 12,North,14,9,5,9,7,2,8,5,3,6,4,2,
2002,UConn,FBS Independents,,12,6,6,0,0,0,6,3,3,6,3,3,
2002,Florida State,ACC,,14,9,5,9,7,2,7,5,2,7,4,3,
2002,Florida,SEC,East,13,8,5,8,6,2,8,5,3,5,3,2,
2002,South Florida,FBS Independents,,11,9,2,4,4,0,6,6,0,5,3,2,
2002,Georgia Tech,ACC,,13,7,6,9,5,4,6,4,2,7,3,4,
2002,Georgia,SEC,East,14,13,1,9,8,1,8,7,1,6,6,0,
2002,Hawai'i,Western Athletic,,14,10,4,8,7,1,9,7,2,5,3,2,
2002,Iowa State,Big 12,North,14,7,7,8,4,4,8,6,2,6,1,5,
2002,Boise State,Western Athletic,,13,12,1,8,8,0,7,7,0,6,5,1,
2002,Idaho,Sun Belt,,12,2,10,6,1,5,5,2,3,7,0,7,
2002,Northwestern,Big Ten,,12,3,9,11,2,9,6,2,4,6,1,5,
2002,Indiana,Big Ten,,12,3,9,10,2,8,6,3,3,6,0,6,
2002,Notre Dame,FBS Independents,,13,10,3,0,0,0,7,5,2,6,5,1,
2002,Kentucky,SEC,East,12,7,5,8,3,5,7,4,3,5,3,2,
2002,Louisville,Conference USA,,13,7,6,11,7,4,6,3,3,7,4,3,
2002,LSU,SEC,West,13,8,5,8,5,3,8,6,2,5,2,3,
2002,Boston College,Big East,,13,9,4,7,3,4,7,6,1,6,3,3,
2002,Maryland,ACC,,14,11,3,8,6,2,8,6,2,6,5,1,
2002,Michigan State,Big Ten,,12,4,8,9,2,7,8,3,5,4,1,3,
2002,Michigan,Big Ten,,13,10,3,10,8,2,7,6,1,6,4,2,
2002,Minnesota,Big Ten,,13,8,5,8,3,5,8,6,2,5,2,3,
2002,Missouri,Big 12,North,12,5,7,8,2,6,6,3,3,6,2,4,
2002,Ole Miss,SEC,West,13,7,6,8,3,5,8,7,1,5,0,5,
2002,Duke,ACC,,12,2,10,11,1,10,6,1,5,6,1,5,
2002,East Carolina,Conference USA,,12,4,8,11,4,7,5,3,2,7,1,6,
2002,NC State,ACC,,14,11,3,10,7,3,7,6,1,7,5,2,
2002,North Carolina,ACC,,12,3,9,9,2,7,6,0,6,6,3,3,
2002,Wake Forest,ACC,,13,7,6,11,6,5,7,5,2,6,2,4,
2002,Nebraska,Big 12,North,14,7,7,8,3,5,8,6,2,6,1,5,
2002,Rutgers,Big East,,12,1,11,7,0,7,6,1,5,6,0,6,
2002,New Mexico State,Sun Belt,,12,7,5,7,5,2,5,5,0,7,2,5,
2002,New Mexico,Mountain West,,14,7,7,9,5,4,7,5,2,7,2,5,
2002,Syracuse,Big East,,12,4,8,7,2,5,6,3,3,6,1,5,
2002,Bowling Green,Mid-American,West,12,9,3,8,6,2,6,6,0,6,3,3,
2002,Miami (OH),Mid-American,East,12,7,5,8,5,3,5,2,3,7,5,2,
2002,Ohio State,Big Ten,,14,14,0,10,10,0,8,8,0,5,5,0,
2002,Ohio,Mid-American,East,12,4,8,8,4,4,5,3,2,7,1,6,
2002,Oklahoma State,Big 12,South,13,8,5,8,5,3,8,7,1,5,1,4,
2002,Oklahoma,Big 12,South,14,12,2,9,7,2,7,7,0,7,5,2,
2002,Tulsa,Western Athletic,,12,1,11,8,1,7,6,1,5,6,0,6,
2002,Oregon State,Pac-10,,13,8,5,9,5,4,8,6,2,5,2,3,
2002,Penn State,Big Ten,,13,9,4,9,6,3,8,7,1,5,2,3,
2002,Temple,Big East,,12,4,8,7,2,5,7,2,5,5,2,3,
2002,Pittsburgh,Big East,,13,9,4,7,5,2,7,5,2,6,4,2,
2002,Clemson,ACC,,13,7,6,8,4,4,7,5,2,6,2,4,
2002,Memphis,Conference USA,,12,3,9,9,2,7,6,3,3,6,0,6,
2002,Vanderbilt,SEC,East,12,2,10,8,0,8,7,2,5,5,0,5,
2002,Baylor,Big 12,South,12,3,9,8,1,7,6,3,3,6,0,6,
2002,Rice,Western Athletic,,11,4,7,8,3,5,5,2,3,6,2,4,
2002,Texas A&M,Big 12,South,12,6,6,8,3,5,7,3,4,5,3,2,
2002,Houston,Conference USA,,12,5,7,9,3,6,6,3,3,6,2,4,
2002,North Texas,Sun Belt,,13,8,5,6,6,0,5,4,1,8,4,4,
2002,Texas,Big 12,South,13,11,2,8,6,2,6,6,0,7,5,2,
2002,BYU,Mountain West,,12,5,7,8,2,6,6,4,2,6,1,5,
2002,Utah,Mountain West,,11,5,6,10,4,6,5,3,2,6,2,4,
2002,Virginia,ACC,,14,9,5,10,6,4,8,7,1,6,2,4,
2002,Virginia Tech,Big East,,14,10,4,7,3,4,9,7,2,5,3,2,
2002,Washington,Pac-10,,13,7,6,11,5,6,8,5,3,5,2,3,
2002,Washington State,Pac-10,,13,10,3,9,7,2,8,6,2,5,4,1,
2002,Wisconsin,Big Ten,,14,8,6,10,4,6,9,6,3,5,2,3,
2002,Marshall,Mid-American,East,13,11,2,9,8,1,8,8,0,5,3,2,
2002,West Virginia,Big East,,13,9,4,7,6,1,6,4,2,7,5,2,
2002,Fresno State,Western Athletic,,14,9,5,8,6,2,7,6,1,7,3,4,
2002,Louisiana,Sun Belt,East,12,3,9,6,2,4,5,3,2,7,0,7,
2002,Utah State,FBS Independents,,11,4,7,3,1,2,5,3,2,6,1,5,
2002,Alabama,SEC,West,13,10,3,8,6,2,7,5,2,6,5,1,
2002,Mississippi State,SEC,West,12,3,9,8,0,8,6,2,4,6,1,5,
2002,Army,Conference USA,,12,1,11,9,1,8,6,0,6,6,1,5,
2002,Illinois,Big Ten,,12,5,7,9,4,5,7,3,4,5,2,3,
2002,Air Force,Mountain West,,13,8,5,10,7,3,7,4,3,6,4,2,
2002,Akron,Mid-American,East,12,4,8,8,3,5,5,3,2,7,1,6,
2002,Arkansas State,Sun Belt,East,13,6,7,6,3,3,7,4,3,6,2,4,
2002,Ball State,Mid-American,West,12,6,6,8,4,4,5,4,1,7,2,5,
2002,Buffalo,Mid-American,East,12,1,11,8,0,8,6,0,6,6,1,5,
2002,UCF,Mid-American,East,12,7,5,8,6,2,6,4,2,6,3,3,
2002,Central Michigan,Mid-American,West,12,4,8,8,2,6,6,2,4,6,2,4,
2002,Cincinnati,Conference USA,,14,7,7,9,6,3,8,4,4,6,3,3,
2002,Eastern Michigan,Mid-American,West,12,3,9,8,1,7,6,3,3,6,0,6,
2002,Iowa,Big Ten,,13,11,2,9,8,1,7,6,1,6,5,1,
2002,Kansas,Big 12,North,12,2,10,8,0,8,6,1,5,6,1,5,
2002,Kansas State,Big 12,North,13,11,2,8,6,2,8,7,1,5,4,1,
2002,Kent State,Mid-American,East,12,3,9,8,1,7,6,2,4,6,1,5,
2002,Louisiana Tech,Western Athletic,,12,4,8,8,3,5,5,4,1,7,0,7,
2002,Miami,Big East,,13,12,1,7,7,0,6,6,0,6,6,0,
2002,Middle Tennessee,Sun Belt,,12,4,8,7,3,4,5,3,2,7,1,6,
2002,Navy,FBS Independents,,12,2,10,0,0,0,7,1,6,5,1,4,
2002,UL Monroe,Sun Belt,East,12,3,9,7,3,4,6,3,3,6,0,6,
2002,UNLV,Mountain West,,12,5,7,9,3,6,6,3,3,6,2,4,
2002,Nevada,Western Athletic,,12,5,7,8,4,4,6,4,2,6,1,5,
2002,Northern Illinois,Mid-American,West,12,8,4,8,7,1,6,4,2,6,4,2,
2002,Oregon,Pac-10,,13,7,6,9,3,6,8,5,3,5,2,3,
